Full Name,Born,Bats,Bowls,Code
Richard D Berrington,1987-03-04,Right Handed,Right Arm Medium Fast,3592
Gavin M Hamilton,1974-09-16,Left Handed,Right Arm Fast Medium,2199
Moneeb M Iqbal,1986-02-28,Right Handed,Right Arm Leg Break,3655
Douglas R Lockhart,1976-01-19,Right Handed,,3405
Rana M Haq,1983-11-12,Right Handed,Right Arm Off Break,3450
Matthew A Parker,1990-02-03,Left Handed,Right Arm Medium Fast,3796
Gordon D Drummond,1980-04-21,Right Handed,Right Arm Medium Fast,3486
Johann D Nel,1980-06-06,Right Handed,Right Arm Medium Fast,3402
Raees Ahmadzai,1984-03-09,Right Handed,Right Arm Off Break,3668
Hasti Gul,1984-01-01,Right Handed,Right Arm Medium,3670
Khaliq Dad,1984-01-01,Right Handed,Right Arm Fast Medium,3671
Dawlat Ahmadzai,1984-05-09,Right Handed,Right Arm Fast Medium,3673
Kyle James Coetzer,1984-04-14,Right Handed,Right Arm Medium Fast,3607
Calum Scott Macleod,1988-11-15,Right Handed,Right Arm Medium Fast,3606
Matthew W Machan,1991-02-15,Left Handed,Right Arm Off Break,4006
David Murphy,1989-06-24,Right Handed,,4007
Safyaan M Sharif,1991-05-24,Right Handed,Right Arm Medium Fast,3868
Iain Wardlaw,1985-06-29,Right Handed,Right Arm Fast Medium,4008
Robert M L Taylor,1989-12-21,Left Handed,Left Arm Medium,4013
Hamish J W Gardiner,1991-04-01,Right Handed,,4235
Matthew Henry Cross,1992-10-15,Right Handed,,4221
Michael A Leask,1990-10-29,Right Handed,Right Arm Off Break,4222
Freddie R J Coleman,1991-12-15,,,4220
Alasdair C Evans,1989-12-01,Right Handed,Right Arm Medium Fast,3707
Sharafuddin Ashraf,1995-10-01,Left Handed,Left Arm Orthodox,4313
Mathurage Don Kusal Janith Perera,1990-08-17,Left Handed,,3994
Hettige Don Rumesh Lahiru Thirimanne,1989-08-09,Left Handed,Right Arm Medium Fast,3749
Kumar C Sangakkara,1977-10-27,Left Handed,Right Arm Off Break,2226
Denagamage Proboth Mahela de Silva Jayawardene,1977-05-27,Right Handed,Right Arm Medium,2104
Lokuge Dinesh Chandimal,1989-11-18,Right Handed,Right Arm Off Break,3779
Angelo Davis Mathews,1987-02-06,Right Handed,Right Arm Fast Medium,3628
Pinnaduwage Chaturanga de Silva,1990-01-17,Left Handed,Left Arm Orthodox,4270
